31-03-2026 15:38:45 | GET | cafeteria_api/categorias
31-03-2026 15:42:47 | GET | cafeteria_api/categorias
31-03-2026 15:42:59 | GET | cafeteria_api/categorias
31-03-2026 15:42:59 | GET | cafeteria_api/categorias
31-03-2026 15:44:28 | GET | cafeteria_api/categorias
31-03-2026 15:46:19 | GET | cafeteria_api/categorias
31-03-2026 15:46:20 | GET | cafeteria_api/categorias
31-03-2026 15:46:24 | GET | cafeteria_api/categorias
31-03-2026 15:46:26 | GET | cafeteria_api/categorias
31-03-2026 15:46:36 | GET | cafeteria_api/categorias
31-03-2026 15:46:47 | GET | cafeteria_api/categorias
31-03-2026 15:47:08 | GET | cafeteria_api/categorias
31-03-2026 15:48:02 | GET | cafeteria_api/categorias
31-03-2026 15:49:54 | GET | cafeteria_api/categorias
31-03-2026 15:54:10 | GET | cafeteria_api/categorias
31-03-2026 15:54:35 | GET | cafeteria_api/categorias
31-03-2026 15:55:44 | GET | cafeteria_api/categorias
31-03-2026 15:55:54 | GET | cafeteria_api/categorias
31-03-2026 15:55:57 | GET | cafeteria_api/categorias
31-03-2026 15:56:20 | GET | cafeteria_api/categorias
31-03-2026 15:56:31 | GET | cafeteria_api/categorias
31-03-2026 15:56:40 | GET | cafeteria_api/categorias
31-03-2026 15:58:26 | GET | cafeteria_api/categorias
31-03-2026 15:59:15 | GET | cafeteria_api/categorias
31-03-2026 15:59:18 | GET | cafeteria_api/categorias
31-03-2026 16:00:22 | GET | cafeteria_api/categorias
31-03-2026 16:00:39 | GET | cafeteria_api/categorias
31-03-2026 16:00:41 | GET | cafeteria_api/categorias
31-03-2026 16:01:28 | GET | cafeteria_api/categorias
31-03-2026 16:02:42 | GET | cafeteria_api/categorias
31-03-2026 16:03:29 | GET | cafeteria_api/categorias
31-03-2026 16:03:31 | GET | cafeteria_api/categorias
31-03-2026 16:04:01 | GET | cafeteria_api/categorias
31-03-2026 16:04:05 | GET | cafeteria_api/categorias
31-03-2026 16:04:49 | GET | cafeteria_api/categorias
31-03-2026 16:10:42 | GET | cafeteria_api/categorias
31-03-2026 16:10:43 | GET | cafeteria_api/categorias
31-03-2026 16:11:10 | GET | cafeteria_api/categorias
31-03-2026 16:17:00 | GET | cafeteria_api/categorias
31-03-2026 16:17:01 | GET | cafeteria_api/categorias
31-03-2026 16:17:44 | GET | cafeteria_api/categorias
31-03-2026 16:26:50 | GET | cafeteria_api/categorias
31-03-2026 16:27:03 | GET | cafeteria_api/categorias
31-03-2026 16:27:35 | GET | cafeteria_api/categorias
31-03-2026 16:39:04 | GET | cafeteria_api/categorias
31-03-2026 16:39:05 | GET | cafeteria_api/categorias
31-03-2026 16:53:25 | GET | cafeteria_api/categorias
31-03-2026 16:56:39 | GET | cafeteria_api/categorias
31-03-2026 16:59:34 | GET | cafeteria_api/categorias
31-03-2026 16:59:35 | GET | cafeteria_api/categorias
31-03-2026 17:00:01 | GET | cafeteria_api/categorias
31-03-2026 17:00:15 | GET | cafeteria_api/categorias
31-03-2026 17:07:50 | GET | cafeteria_api/categorias
31-03-2026 17:07:57 | GET | cafeteria_api/categorias
31-03-2026 17:08:07 | GET | cafeteria_api/categorias
31-03-2026 17:08:09 | GET | cafeteria_api/categorias
31-03-2026 17:11:51 | GET | cafeteria_api/categorias
31-03-2026 17:30:27 | GET | cafeteria_api/categorias
31-03-2026 17:32:45 | GET | cafeteria_api/categorias
31-03-2026 18:36:11 | GET | cafeteria_api/categorias
31-03-2026 18:40:02 | GET | cafeteria_api/categorias
31-03-2026 18:40:33 | GET | cafeteria_api/categorias
31-03-2026 18:40:39 | GET | cafeteria_api/categorias
31-03-2026 18:40:39 | GET | cafeteria_api/categorias
31-03-2026 18:40:41 | GET | cafeteria_api/categorias
31-03-2026 18:43:04 | GET | cafeteria_api/categorias
31-03-2026 18:43:09 | GET | cafeteria_api/categorias
31-03-2026 18:44:05 | GET | cafeteria_api/categorias
31-03-2026 18:44:07 | GET | cafeteria_api/categorias
31-03-2026 18:44:44 | GET | cafeteria_api/categorias
31-03-2026 18:44:51 | GET | cafeteria_api/categorias
31-03-2026 18:46:24 | GET | cafeteria_api/categorias
31-03-2026 18:47:19 | GET | cafeteria_api/categorias
31-03-2026 18:48:10 | GET | cafeteria_api/categorias
31-03-2026 18:48:12 | GET | cafeteria_api/categorias
31-03-2026 18:48:13 | GET | cafeteria_api/categorias
31-03-2026 18:48:24 | OPTIONS | cafeteria_api/categorias/5
31-03-2026 18:48:27 | OPTIONS | cafeteria_api/categorias/5
31-03-2026 18:48:32 | OPTIONS | cafeteria_api/categorias
31-03-2026 18:48:34 | OPTIONS | cafeteria_api/categorias
31-03-2026 18:48:40 | OPTIONS | cafeteria_api/categorias
31-03-2026 18:49:37 | GET | cafeteria_api/categorias
31-03-2026 18:50:01 | GET | cafeteria_api/categorias
31-03-2026 18:52:11 | GET | cafeteria_api/categorias
31-03-2026 18:52:24 | GET | cafeteria_api/categorias
31-03-2026 18:52:30 | POST | cafeteria_api/categorias
31-03-2026 18:52:30 | GET | cafeteria_api/categorias
31-03-2026 18:52:35 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:36 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:36 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:36 | OPTIONS | cafeteria_api/categorias/6
